# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  25,   6.328,   3.405,   0.000,   0.654,   0.759,   0.000,  0,   0.000,    0,    0,    5,   16,    6
  17,   7.303,   3.405,   0.000,   0.619,   0.759,   0.000,  0,   0.000,    0,    0,    6,   17,    6
   9,   8.277,   3.405,   0.000,   0.583,   0.759,   0.000,  0,   0.000,    0,    0,    7,   18,    6
   1,   9.252,   3.405,   0.000,   0.548,   0.759,   0.000,  0,   0.000,    0,    0,    8,   19,    6
 351,  -9.252,   2.430,   0.000,   0.548,   0.794,   0.000,  0,   0.000,   10,    3,    8,    0,    7
 350,  -8.277,   2.430,   0.000,   0.583,   0.794,   0.000,  0,   0.000,   10,    3,    7,    1,    7
 349,  -7.303,   2.430,   0.000,   0.619,   0.794,   0.000,  0,   0.000,   10,    3,    6,    2,    7
 348,  -6.328,   2.430,   0.000,   0.654,   0.794,   0.000,  0,   0.000,   10,    3,    5,    3,    7
 347,  -5.354,   2.430,   0.000,   0.689,   0.794,   0.000,  0,   0.000,   10,    3,    4,    4,    7
 346,  -4.379,   2.430,   0.000,   0.724,   0.794,   0.000,  0,   0.000,   10,    3,    3,    5,    7
 345,  -3.405,   2.430,   0.000,   0.759,   0.794,   0.000,  0,   0.000,   10,    3,    2,    6,    7
 344,  -2.430,   2.430,   0.000,   0.794,   0.794,   0.000,  0,   0.000,   10,    3,    1,    7,    7
  95,  -1.456,   2.430,   0.000,   0.829,   0.794,   0.000,  0,   0.000,    2,    0,    1,    8,    7
  87,  -0.481,   2.430,   0.000,   0.864,   0.794,   0.000,  0,   0.000,    2,    0,    0,    9,    7
  79,   0.481,   2.430,   0.000,   0.864,   0.794,   0.000,  0,   0.000,    2,    0,    0,   10,    7
  71,   1.456,   2.430,   0.000,   0.829,   0.794,   0.000,  0,   0.000,    2,    0,    1,   11,    7
  56,   2.430,   2.430,   0.000,   0.794,   0.794,   0.000,  0,   0.000,    1,    0,    1,   12,    7
  49,   3.405,   2.430,   0.000,   0.759,   0.794,   0.000,  0,   0.000,    1,    0,    2,   13,    7
  46,   4.379,   2.430,   0.000,   0.724,   0.794,   0.000,  0,   0.000,    1,    0,    3,   14,    7
  39,   5.354,   2.430,   0.000,   0.689,   0.794,   0.000,  0,   0.000,    1,    0,    4,   15,    7
  24,   6.328,   2.430,   0.000,   0.654,   0.794,   0.000,  0,   0.000,    0,    0,    5,   16,    7
  16,   7.303,   2.430,   0.000,   0.619,   0.794,   0.000,  0,   0.000,    0,    0,    6,   17,    7
   8,   8.277,   2.430,   0.000,   0.583,   0.794,   0.000,  0,   0.000,    0,    0,    7,   18,    7
   0,   9.252,   2.430,   0.000,   0.548,   0.794,   0.000,  0,   0.000,    0,    0,    8,   19,    7
 352,  -9.252,   1.456,   0.000,   0.548,   0.829,   0.000,  0,   0.000,   11,    3,    7,    0,    8
 353,  -8.277,   1.456,   0.000,   0.583,   0.829,   0.000,  0,   0.000,   11,    3,    6,    1,    8
 354,  -7.303,   1.456,   0.000,   0.619,   0.829,   0.000,  0,   0.000,   11,    3,    5,    2,    8
 355,  -6.328,   1.456,   0.000,   0.654,   0.829,   0.000,  0,   0.000,   11,    3,    4,    3,    8
 356,  -5.354,   1.456,   0.000,   0.689,   0.829,   0.000,  0,   0.000,   11,    3,    4,    4,    8
 357,  -4.379,   1.456,   0.000,   0.724,   0.829,   0.000,  0,   0.000,   11,    3,    3,    5,    8
 358,  -3.405,   1.456,   0.000,   0.759,   0.829,   0.000,  0,   0.000,   11,    3,    2,    6,    8
